case_id,model,domain,scc_size,template,lea_root_at_3,lea_risk_any,lea_risk_all,lea_compression,lea_calls,lea_tokens,lea_runtime,sa_root_at_3,sa_risk_any,sa_risk_all,sa_compression,sa_calls,sa_runtime,naive_root_at_3,naive_risk_any,naive_risk_all,naive_compression,naive_invalid,naive_calls,naive_runtime
100_gemini-2.5-pro_bgb9_scc_7_condition_trigger,gemini-2.5-pro,bgb,9,condition_trigger,True,True,True,0.4444444444444444,9.0,68413.0,296.2230989933014,True,True,True,0.4444444444444444,46.0,559.2747619152069,False,True,False,0.7777777777777778,False,1.0,75.87404417991638
101_gemini-2.5-pro_bgb11_scc_0_temporal_gate,gemini-2.5-pro,bgb,11,temporal_gate,True,True,True,0.5454545454545454,11.0,70939.0,402.0611000061035,True,True,True,0.5454545454545454,55.0,712.6934180259705,True,True,True,0.7272727272727273,False,1.0,63.52211618423462
102_gemini-2.5-pro_bgb11_scc_0_condition_trigger,gemini-2.5-pro,bgb,11,condition_trigger,True,True,True,0.5454545454545454,11.0,37231.0,176.62906694412231,True,True,True,0.6363636363636364,53.0,672.6787648200989,True,True,True,0.5454545454545454,False,1.0,76.47952723503113
103_gemini-2.5-pro_bgb25_scc_3_temporal_gate,gemini-2.5-pro,bgb,25,temporal_gate,True,True,True,0.52,24.0,211658.0,846.2421109676361,True,True,True,0.64,47.0,541.8438258171082,True,True,True,0.84,False,1.0,41.971930742263794
104_gemini-2.5-pro_bgb25_scc_3_condition_trigger,gemini-2.5-pro,bgb,25,condition_trigger,True,True,True,0.52,24.0,173756.0,708.3608801364899,True,True,True,0.76,52.0,570.5201070308685,True,True,False,0.92,False,1.0,99.87827610969543
105_gemini-2.5-pro_cuad12_scc_50_temporal_gate,gemini-2.5-pro,cuad,12,temporal_gate,True,True,True,0.5,11.0,96272.0,412.9912528991699,True,True,True,0.5,50.0,547.0351490974426,True,True,True,0.75,False,1.0,96.93287706375122
106_gemini-2.5-pro_cuad12_scc_50_condition_trigger,gemini-2.5-pro,cuad,12,condition_trigger,True,True,True,0.5,11.0,87287.0,368.3495168685913,True,True,True,0.5,49.0,548.7034940719604,True,True,False,0.75,False,1.0,61.42251420021057
107_gemini-2.5-pro_cuad14_scc_8_temporal_gate,gemini-2.5-pro,cuad,14,temporal_gate,True,True,True,0.5,13.0,87439.0,383.7227408885956,True,True,True,0.5,50.0,532.2345390319824,True,True,True,0.7142857142857143,False,1.0,41.0130717754364
108_gemini-2.5-pro_cuad14_scc_8_condition_trigger,gemini-2.5-pro,cuad,14,condition_trigger,True,True,True,0.5,13.0,91352.0,371.67762899398804,True,True,True,0.5,56.0,560.2250671386719,True,True,True,0.7142857142857143,False,1.0,89.28851675987244
109_gemini-2.5-pro_cuad16_scc_23_temporal_gate,gemini-2.5-pro,cuad,16,temporal_gate,True,True,True,0.5,12.0,106711.0,423.81739687919617,True,True,True,0.5,59.0,542.2484631538391,False,False,False,0.0,False,0.0,0.0
110_gemini-2.5-pro_cuad16_scc_23_condition_trigger,gemini-2.5-pro,cuad,16,condition_trigger,True,True,True,0.5,12.0,68933.0,254.0306429862976,True,True,True,0.5,57.0,502.88469099998474,True,True,True,0.75,False,1.0,146.09995126724243
111_gemini-2.5-pro_cuad17_scc_0_temporal_gate,gemini-2.5-pro,cuad,17,temporal_gate,True,True,True,0.5294117647058824,14.0,94094.0,355.0816569328308,True,True,True,0.5294117647058824,57.0,536.5728762149811,True,True,True,0.8235294117647058,False,1.0,94.16937327384949
